ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
ACOAD7f ACSPHAC120 APSR CYTK1 ECOAH28 FALDM GDPTPDP GGGABAH GGPTRCS HACD26i HACD6i ACACT12 LYSDC MACACI MAN6PI NFORGLUAH2 OAADC PAPSR PGI PGK PPCK RECOAH3 RHACOAE142 SERD_L ALATA_L 3OXCOAT,26,0.15467449,2.93738583,0.596168379155477,1.04858397589837
ACSPHAC120 ACSPHAC140 ACSPHAC90 ACSPHACP50 ASPCT ECOAH26 FUM GLU5K GLXCL GLYO1 HACD6i HSK ICDHyr MAN6PI MDH NFORGLUAH2 PGI PGK PHAPCP100 PHAPCP70 PPCK PPK PROD2 QUIDH RECOAH2 RECOAH3 SUCOAS ALATA_L 3OXCOAT,29,0.07876185,2.93561622,1.06597736062379,1.02454875611847
ACSPHAC120 CYTK1 DHORDfum FUM GDPMANNDH HACD21i HACD6i HPPK ICDHyr IMPD KAS15 ACACT13 MACACI MAN6PI MDH ME2 NFORGLUAH2 PGI PGK PHADPCP60 PHAPC50 PRMICI_copy1 THRA PRAMPC_copy2 AKGDb_copy2 ALATA_L DAAD2 3OXCOAT,28,0.08118078,2.92340155,1.06488698755735,1.02189067203408
ACS ACS2 ASPCT ENO FACOAE1829Z12Z FACOAL161 FALDM FDH FUM GAPD GDPMANNDH GLXCL HACD32i ICDHyr MAN6PI ME2 NFORGLUAH2 PDHcr PGI PGK PGM PUTA3 RECOAH24 RHACOAE140 SERD_L SUCOAS AKGDb_copy2 ACOAD24f ALATA_L 3OADPCOAT,30,0.04733136,2.92329065,1.13683210049606,1.06059160125751
ACSPHAC120 ACSPHAC90 CAT CELLS CYSTS FDH FUM GAPD GLXCL HACD26i HSK ICL LYSMO MAN6PI MLTGY4pp NFORGLUAH2 OMPDC PCADYOX PGI PGK PGL PHAP2C80 PHAPC50 TRYPTAOX HMR_0180_copy2 AKGDb_copy2 ACALD ACOAD23f DUTPDP 3OADPCOAT,30,0.06810241,2.90175973,1.08686273621972,1.03926131115022
ASPCT CYTK1 DHORDfum EDA ENO FDH GDPMANNDH GLXCL HACD8i ICL IMPD MACACI MAN6PI MDH MGCH MMTSAO NFORGLUAH2 NTP3 NTPP4 PGI PGK PHAPCT40 PPCK RECOAH2 RECOAH3 SUCOAS IDPh_1 AGMT ALATA_L 3OXCOAT,30,0.08657954,2.88923987,1.0636845704334,1.01627909349887
ACOAD5f ACOAD7f ACS ASPCT CSND DHSKDH ECOAH28 FACOAE1829Z12Z FDH FUM HACD6i MAN6PI MDH NFORGLUAH2 PDHcr PGI PGK PPK PROD2 RECOAH15 RECOAH3 RHACOAE70 ADPT ALATA_L 3OXCOAT,25,0.08195839,2.86787153,1.0661433812553,1.02458041577579
ACOAD7f ACONTb ACSPHAC80 AP4AS APG3PAT160 ASPCT ECOAH7 FACOAE1829Z12Z FDH FUM GDPTPDP HACD22i HACD6i ICL ACACT9 MALTT MAN6PI MDH ME2 NFORGLUAH2 NTP3 PGI PGK PPCK RHACOAE140 RHACOAE141 RHACOAEP40 IDPh_1 ACALD 3OADPCOAT,30,0.06979843,2.85690635,1.08822647966742,1.03964173211996
ACS2 ECOAH26 FACOAL160 FDH FUM GLUR HACD26i HIBDkt HSK ICDHyr LPSGTR1_kt MAN6PI NADTRHD NFORGLUAH2 NMNDA OMPDC PGI PGK PGL PPCK PPK2 RECOAH22 RECOAH26 RECOAH3 VALDHr ACOAD23f 3OXCOAT,27,0.09118682,2.82340078,1.06516963560519,1.01391854973738
ACOAD7f ACONTb ACSPHAC80 APG3PAT160 ASPCT FACOAE1829Z12Z FDH FUM GDPMANNDH GDPTPDP HACD22i HACD6i ICL LLEUDr MALTT MAN6PI MCITD MDH ME2 NTP3 PGI PGK PPCK RHACOAE140 RHACOAE141 RHACOAEP40 IDPh_1 AKGDb_copy2 ACALD 3OADPCOAT,30,0.07190875,2.81293342,1.08440276201063,1.04054884582318
